TotalPer Game,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Offense,,,,,,,,,Rushing Offense,,,,Passing Offense,,,,,,Redzone,,,Turnovers,,,Penalties,
Team,POINTS,Q1 PTS,Q2 PTS,Q3 PTS,Q4 PTS,PLAYS,YARDS/PLAY,YARDS,ATTEMPTS,YARDS,YARDS/ATTEMPT ,TD,ATTEMPTS,YARDS/ATTEMPT,COMPLETIONS,YARDS/COMPLETIONS,YARDS,TDS,REDZONE ATTEMPTS,REDZONE TDS,RESZONE %,TURN OVERS,INTERCENTIONS ,FUMBLES,PENALTIES,PENALTI YARDS
Arizona Cardinals,21.9,5.7,6.7,5.3,4.1,63,4.9,310.3,25,110.4,4.4,0.7,34.6,5.8,23.1,8.6,199.9,1.4,3.9,2.1,56%,1.1,0.6,0.6,7.7,56.1
Atlanta Falcons,17.1,5.3,3.7,3.9,4.3,62.7,5.5,342.7,28,123.3,4.4,1,33.3,6.6,20.7,10.6,219.4,0.7,2.9,1.3,45.00%,1,0.4,0.6,5.9,43.7
Baltimore Ravens,24.9,3.7,6.3,6.7,8.1,54.9,5.8,315.7,25.3,133.4,5.3,1.1,26.4,6.9,18.4,9.9,182.3,1.6,3.4,1.6,45.80%,1.4,0.7,0.7,6.3,45.6
Buffalo Bills,29.6,6.9,6,8.3,8.4,62.6,6.1,382.9,31.6,164.4,5.2,1.9,29,7.5,19.6,11.2,218.4,1.7,4,2.6,64.30%,0.9,0.6,0.3,7.3,58.7
Carolina Panthers,19.2,3.1,4.1,3.6,8.4,64.5,4.9,316.4,29.5,136.9,4.6,0.5,32.6,5.5,20.4,8.8,179.5,1.5,3,1.8,58.30%,1.5,0.8,0.8,5.8,46.2
Chicago Bears,24,6.6,7.1,3.9,6.4,62.3,5.6,350.1,28.3,124.6,4.4,1,32.3,7,20,11.3,225.6,1.3,3.3,1.6,48%,0.9,0.6,0.3,9.1,76.1
Cincinnati Bengals,21.8,3.4,5.9,4.2,8.2,57.4,5,284.9,19.2,82.9,4.3,0.6,35.8,5.7,22.8,8.9,202,1.9,2.8,1.9,68.20%,1.4,1,0.4,5,33.6
Cleveland Browns,15.8,3,4.1,4.1,4.5,64,4.1,263.6,23.8,89.5,3.8,0.8,37.8,4.6,22.2,7.8,174.1,0.9,2.6,1.5,57.10%,1.2,1,0.2,6.6,52.4
Dallas Cowboys,30.8,4.5,12.6,6.1,6.8,64.4,6,384.1,25.8,120.4,4.7,1.2,37.4,7.1,26.2,10,263.8,2.1,3.9,2.5,65%,1,0.8,0.2,8.4,69.4
Denver Broncos,25.9,5.5,6.9,2.9,10.6,64.1,5.6,356.9,27.5,137.8,5,1.2,35.6,6.2,22.4,9.8,219.1,1.9,3.4,2.4,70%,1,0.6,0.4,8.5,77.1
Detroit Lions,30.7,6.4,8.3,5.9,10.1,60.6,5.9,357.3,29.6,133.7,4.5,1.4,29.1,7.7,21.9,10.2,223.6,2.3,4.1,3,72%,0.7,0.4,0.3,6,45
Green Bay Packers,27.6,4.4,5.6,4.4,12.7,60.9,5.9,359.1,29,114.1,3.9,1.3,30.4,8.1,21.6,11.4,245,1.9,4.3,3,70.00%,0.4,0.3,0.1,7.9,60.9
Houston Texans,21.9,3.7,6.9,3.3,8,62.4,5.3,328.7,26.6,113.4,4.3,0.4,33.7,6.4,22.4,9.6,215.3,1.6,2.7,1.1,42%,1,0.7,0.3,7.4,61
Indianapolis Colts,33.8,6.5,11.5,9,6.8,58.9,6.5,385.2,26.8,134.4,5,2.2,31,8.1,21.8,11.5,250.9,1.6,4.8,3.2,68.40%,0.5,0.4,0.1,6.2,51.9
Jacksonville Jaguars,20.9,3.3,7.3,4.7,5.6,65.4,5.1,334.9,25.6,119.7,4.7,0.9,37,5.8,21.7,9.9,215.1,1.3,3.1,1.6,50%,0.9,0.7,0.1,9.3,75.4
Kansas City Chiefs,26.8,3.2,9.2,6.8,7.5,65.1,5.8,378.2,28.1,126.5,4.5,1.1,35.2,7.1,23.6,10.7,251.8,2.1,4.2,3,70.60%,0.5,0.5,0,7,60.4
Las Vegas Raiders,14.7,3.7,3.4,3.4,4.1,56.1,4.9,276.4,24.3,93.7,3.9,0.4,29.1,6.3,19.3,9.5,182.7,1,2.6,1,38.90%,1.7,1.4,0.3,6.4,52
Los Angeles Chargers,23.5,5.8,5.9,6.5,5.4,65.8,5.8,378.5,25.4,123.1,4.9,0.4,37.5,6.8,25.5,10,255.4,2,3.5,1.6,46.40%,1.4,0.9,0.5,7.5,53.1
Los Angeles Rams,25,4.9,6.6,6.4,7.1,61.3,5.9,360.1,25,103.4,4.1,0.6,34.7,7.4,22.9,11.2,256.7,2.4,4.3,2.4,56.70%,1,0.3,0.7,5.4,44.9
Miami Dolphins,21.8,3.4,8,3.4,7,55.5,5.2,286.4,22.1,98.5,4.5,0.5,31.1,6,21.4,8.8,187.9,1.9,2.9,1.9,65.20%,1.5,1.2,0.2,6.6,55.4
Minnesota Vikings,22.1,3.9,5.9,5.4,7,57.1,5.2,296.6,21.9,93.9,4.3,0.7,31.3,6.5,20,10.1,202.7,1.3,3.1,1.7,54.50%,1.7,1.1,0.6,7.9,61.9
New England Patriots,26.6,6.1,8.1,7.5,4.9,60.6,5.8,353.1,28.6,112.6,3.9,0.9,28.5,8.4,21.4,11.3,240.5,1.9,3.6,2,55.20%,1.1,0.4,0.8,8.1,62.6
New Orleans Saints,16,2,7.4,2.9,3.8,63.5,4.6,295,24.8,93.6,3.8,0.4,36.2,5.6,24,8.4,201.4,1,2.6,1.1,42.90%,1.5,0.9,0.6,7.9,54
New York Giants,21.6,5.9,5.6,3.8,6.4,64.1,5.1,325.2,29.2,118,4,1.2,31.8,6.5,18.9,11,207.2,1.4,3.4,1.6,48.10%,1.1,0.8,0.4,8,70
New York Jets,21,2.6,4.4,3.1,10.9,61.1,4.9,300.1,27.6,143.6,5.2,0.8,29.6,5.3,18.9,8.3,156.5,1.1,2.4,1.4,57.90%,1.2,0.4,0.9,6.6,52.2
Philadelphia Eagles,26,7.8,7.8,5.5,5,57.2,5.3,304.4,27.2,111.6,4.1,1.1,26.9,7.2,18.9,10.2,192.8,1.9,2.5,2.1,85%,0.4,0.1,0.2,6.8,60.8
Pittsburgh Steelers,25,5.7,7.7,3.4,8.1,54.9,5.4,297.1,23.1,94.3,4.1,0.4,30,6.8,20.6,9.9,202.9,2.3,2.7,2,73.70%,0.9,0.7,0.1,6,45.4
San Francisco 49ers,20,3.2,7.4,3.5,5.5,65.6,5.3,348.6,26.2,89.4,3.4,0.4,37.4,6.9,24.6,10.5,259.2,1.5,3.1,1.6,52%,1.5,1.1,0.4,6,48.5
Seattle Seahawks,27.6,7,7.7,7.1,5.7,58.1,6,350.6,28.9,106.1,3.7,1.1,28,8.7,19,12.9,244.4,1.7,3.6,2.4,68%,1.7,0.7,1,6.6,55.6
Tampa Bay Buccaneers,24.6,2.9,8.8,7.8,5.2,61.2,5.3,323,25.5,98.1,3.8,0.8,33.6,6.7,21.5,10.5,224.9,1.6,2.8,1.4,50%,0.6,0.2,0.4,6.2,49.6
Tennessee Titans,13.8,2.4,4.4,2,5,59,4.2,248.8,20.5,80.4,3.9,0.4,34.2,4.9,19.8,8.5,168.4,0.6,1.8,0.9,50%,1.6,0.8,0.9,6.8,51.8
Washington Commanders,23.4,2.8,8,5.9,6.8,58.2,5.7,334.4,26.5,137.8,5.2,1.1,29.2,6.7,18.1,10.8,196.6,1.5,2.5,1.9,75%,1.2,0.6,0.6,7,58